,pl_name,disposition,pl_orbper,pl_rade,pl_trandep,st_teff,st_rad,st_logg,dec
0,BD+20 594 b,1.0,41.6855,2.578,0.049,5766.0,1.08,4.5,20.5990205
1,EPIC 201170410.02,1.0,6.7987,1.047,3.823654054054054,3648.0,0.28,5.0,-4.8070039
2,EPIC 201238110 b,1.0,28.1696,2.2,0.316,5643.741351351351,0.37,4.475945945945946,-3.3894613
3,EPIC 201257461.01,0.0,50.285869,3.47,0.184,4859.0,0.74,4.337837837837838,-3.0949095
4,EPIC 201324549.01,0.0,2.51881781,43.80689189189188,0.215,6380.0,1.76,4.408378378378378,-2.0851597
5,EPIC 201427007 b,1.0,0.72091,1.5,0.3606918918918919,5633.0,0.94,4.4,-0.5512886
6,EPIC 201497682 b,1.0,2.13174,0.692,3.770559459459459,5579.66027027027,2.4329729729729728,4.407297297297297,0.4880606
7,EPIC 201555883.01,0.0,5.9743366783783785,46.69208108108107,3.823654054054054,4419.0,0.52,4.480540540540541,1.3759629
8,EPIC 201569483.01,0.0,5.7968861,24.2,9.43,4721.0,0.72,4.273243243243243,1.5774487
9,EPIC 201595106 b,1.0,0.87703,1.2,0.025,5711.17,0.99,4.45,1.9681688
10,EPIC 201615463 c,1.0,3.80464,1.22,0.3651086486486486,5618.482432432433,1.2032432432432434,4.375945945945946,2.2823788
11,EPIC 201649426.01,0.0,27.77045,32.79,3.768775675675675,5086.0,8.15,4.321081081081082,2.8075643
12,EPIC 201754305 d,1.0,2.71578,1.03,3.8088972972972974,5637.362972972973,2.7221621621621623,4.421891891891891,4.5574311
13,EPIC 201757695.02,1.0,2.0478,0.908,3.759897297297296,4520.0,0.66,4.66,4.6164303
14,EPIC 201779067.01,0.0,27.24273,31.73,3.824762162162162,6166.0,0.92,4.289189189189189,4.9881156
15,EPIC 201833600 c,1.0,3.96165,1.48,0.0485,5542.281891891892,0.63,4.427567567567568,5.988289
16,EPIC 201841433 b,1.0,4.16888,1.41,0.0447,5575.471081081081,0.63,4.426486486486486,6.1348146
17,EPIC 201928106.01,0.0,1.19478,1.65,3.8272108108108114,3671.0,0.23,5.05,7.9346019
18,EPIC 201929294.01,0.0,6.77213551081081,37.115054054054056,3.7296540540540533,4786.0,0.7,4.389999999999999,7.9595633
19,EPIC 202059377.01,0.0,1.57753,26.0,0.711442972972973,7747.0,1.93,4.08,21.651567
20,EPIC 202071645.01,0.0,23.7782,98.0,0.711442972972973,7498.0,2.09,4.03,17.7011893
21,EPIC 202126849.01,0.0,3.7999139,10.8,2.4,4171.0,0.64,4.3213513513513515,25.4824005
22,EPIC 202126887.01,0.0,12.866539,22.3,3.01,6066.0,1.18,4.3213513513513515,26.7864507
23,EPIC 202126888.01,0.0,1.84617,2.14,0.711442972972973,3252.0,0.21,5.08,27.2197459
24,EPIC 202963882.01,0.0,0.6308,45.107432432432425,5.52,5701.417027027027,2.7162162162162162,4.393513513513514,-27.734057
25,EPIC 203476597.01,0.0,1.4408,46.20554054054054,1.64,4154.0,1.59,4.341891891891892,-26.0104676
26,EPIC 203485624.01,0.0,0.841202,82.0,3.7491945945945946,6237.0,2.31,3.85,-25.9805673
27,EPIC 203581469.01,0.0,22.7984,9.0,3.732681081081081,6195.0,1.37,4.18,-25.6524338
28,EPIC 203692610.01,0.0,1.8204,43.1931081081081,0.5,3112.0,0.51,4.73,-25.2672637
29,EPIC 203710387.01,0.0,2.809,33.484189189189195,4.73,2901.0,0.47,4.76,-25.2057083
30,EPIC 203823381.01,0.0,8.2766395,0.724,0.371,2586.0,0.11,4.352702702702704,-24.7987348
31,EPIC 203849738.01,0.0,0.6199,31.051027027027033,2.52,2978.0,0.6,4.65,-24.6983209
32,EPIC 203868608.01,0.0,4.5417,43.28418918918919,7.19,2897.0,0.64,4.62,-24.6219639
33,EPIC 204043888.01,0.0,1.486243,58.0,3.8023027027027028,5991.0,1.87,3.98,-23.8914989
34,EPIC 204143627.01,0.0,1.124,43.28418918918919,0.62,3074.0,0.51,4.73,-23.4935346
35,EPIC 204165788.01,0.0,0.7474,44.71854054054054,0.17,6534.553783783784,1.8675675675675674,4.140810810810811,-23.4053136
36,EPIC 204506777.01,0.0,1.6281,49.74659459459459,1.49,5691.0,2.74,3.57,-22.0602594
37,EPIC 204760247.01,0.0,9.2048,51.69324324324323,14.79,11886.0,3.62,3.82,-20.9831714
38,EPIC 204873331.01,0.0,1.3178719,62.0,1.978,5656.606216216216,1.98,4.348378378378378,-20.4763359
39,EPIC 204882444.01,0.0,1.1488,20.569054054054053,0.98,3429.0,0.98,4.07,-20.4356029
40,EPIC 205046529.01,0.0,1.8361,38.21767567567568,0.55,5593.065675675675,2.5029729729729735,4.327297297297297,-19.6641652
41,EPIC 205064326.01,0.0,8.02678456,42.86635135135134,0.472,4708.46,5.6,4.352162162162162,-19.5793619
