pl_name,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_eqt,st_teff,st_rad,st_mass,st_met,st_logg
11 Com b,326.03000000,1.290000,,,6165.60000,19.40000,0.231000,,4742.00,19.00,2.70,-0.350,2.31
11 Com b,,1.210000,,,5434.70000,17.10000,,,,,2.60,,
11 UMi b,,1.510000,,,3432.40000,10.80000,,,,,1.70,,
11 UMi b,516.21997000,1.530000,,,4684.81420,14.74000,0.080000,,4213.00,29.79,2.78,-0.020,1.93
11 UMi b,516.22000000,1.540000,,,3337.07000,10.50000,0.080000,,4340.00,24.08,1.80,0.040,1.60
14 And b,,0.680000,,,1017.00000,3.20000,,,,,1.20,,
14 And b,185.84000000,0.830000,,,1525.50000,4.80000,0.000000,,4813.00,11.00,2.20,-0.240,2.63
14 Her b,1766.41000000,2.830000,,,1541.46777,4.85000,0.367400,,5314.94,1.00,0.97,0.405,4.43
14 Her b,1724.00000000,2.820000,,,1554.12000,4.89000,0.370000,,,,1.00,0.350,
14 Her b,1766.00000000,2.864000,,,1581.13800,4.97500,0.359000,,5280.00,1.00,0.91,0.400,4.40
14 Her b,,2.730000,,,1440.66300,4.53300,0.357000,,,,0.90,,
14 Her b,1773.40000000,2.770000,,,1474.67000,4.64000,0.369000,,,,,,
14 Her b,1773.40002000,2.930000,,,1481.08780,4.66000,0.370000,,5338.00,0.93,0.90,0.410,4.45
14 Her b,1796.40000000,2.800000,,,1506.45000,4.74000,0.338000,,5255.00,,0.90,0.510,4.40
16 Cyg B b,800.80000000,1.600000,,,476.70000,1.50000,0.634000,,5760.00,,1.00,0.050,4.35
16 Cyg B b,798.50000000,1.660000,,,565.73740,1.78000,0.680000,,5750.00,1.13,1.08,0.060,4.36
16 Cyg B b,799.50000000,1.680000,,,533.93000,1.68000,0.689000,,,,,,
16 Cyg B b,798.50000000,1.681000,,,533.95440,1.68000,0.681000,,5674.00,,0.99,0.038,4.36
16 Cyg B b,799.45000000,1.676000,,,556.83537,1.75200,0.683200,,5711.97,1.16,0.98,0.074,4.30
