,pl_name,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_eqt,st_teff,st_rad,st_mass,st_met,st_logg
0,2MASS J21402931+1625183 A b,7336.5,0.40114444444444447,10.31,0.92,6657.48,20.95,0.26,2075.0,2300.0,0.12,0.08,0.1285,4.306111111111111
1,CFHTWIR-Oph 98 b,8040000.0,200.0,20.849,1.86,2479.06157,7.8,0.1293833333333333,1800.0,2320.0,0.24,0.01,0.010111111111111109,3.85
2,COCONUTS-2 b,402000000.0,7506.0,12.442,1.11,2002.31896,6.3,0.1293833333333333,434.0,3406.0,0.39,0.37,0.0,4.83
3,CoRoT-1 b,1.5089686,0.02536,17.385,1.551,327.3649,1.03,0.06505555555555556,1915.0,5950.0,1.13,0.95,-0.3,4.31
4,CoRoT-10 b,13.2406,0.106,10.548,0.941,883.5674,2.78,0.09437222222222223,647.0,5075.0,0.74,0.9,0.26,4.65
5,CoRoT-12 b,2.828042,0.04016,16.14,1.44,291.438,0.917,0.07,1442.0,5675.0,1.12,1.08,0.16,4.38
6,CoRoT-14 b,1.51214,0.02687,11.411,1.018,2437.7561,7.67,0.10097777777777778,1936.0,6035.0,1.19,1.12,0.05,4.34
7,CoRoT-17 b,3.7681,0.0461,11.43,1.02,772.29,2.43,0.0,1626.0,5740.0,1.59,1.04,0.0,4.4
8,CoRoT-18 b,1.9000693,0.0286,14.022,1.251,1039.3041,3.27,0.050777777777777776,1490.0,5440.0,0.92,0.86,-0.1,4.44
9,CoRoT-2 b,1.7429975,0.03758388888888889,15.85,1.414,1052.0173,3.31,0.0,1535.0,5625.0,0.9,0.97,0.0,4.3
10,CoRoT-20 b,9.24318,0.0891,11.209,1.0,1315.8162,4.14,0.16714444444444443,1024.0,5741.888888888889,1.16,1.1,0.11366666666666668,4.35
11,CoRoT-22 b,9.75598,0.092,4.88,0.435,12.2,0.038,0.077,885.0,5939.0,1.14,1.1,0.17,4.36
12,CoRoT-23 b,3.6313,0.04809,13.227,1.18,972.5598,3.06,0.05216666666666667,1710.0,5900.0,1.74,1.12,0.05,4.01
13,CoRoT-24 b,5.1134,0.056,3.7,0.33,5.7,0.018,0.0,1070.0,4950.0,0.86,0.91,0.3,4.55
14,CoRoT-24 c,11.759,0.098,5.0,0.44,28.0,0.088,0.0,850.0,4950.0,0.86,0.91,0.3,4.55
15,CoRoT-25 b,4.86069,0.0578,12.11,1.08,85.81,0.27,0.0,1330.0,6040.0,1.19,1.09,-0.01,4.31
16,CoRoT-27 b,3.57532,0.0476,11.287,1.007,3302.11,10.39,0.065,1500.0,5900.0,1.08,1.05,-0.1,4.4
17,CoRoT-4 b,9.20205,0.0912,13.002,1.16,232.33373,0.731,0.14564999999999997,1058.0,6190.0,1.15,1.19,0.05,4.4
18,CoRoT-5 b,4.0378962,0.05004,13.249,1.182,149.3801,0.47,0.0771111111111111,1348.0,6100.0,1.05,1.02,-0.25,4.41
19,CoRoT-6 b,8.886593,0.0855,13.283,1.185,940.7768,2.96,0.14483333333333334,1025.0,6090.0,1.04,1.05,-0.2,4.42
20,CoRoT-7 b,0.853585,0.0169,1.861,0.166,6.99226,0.022,0.08666666666666667,1910.0,5250.0,0.96,0.88,0.12,4.42
21,CoRoT-9 b,95.272656,0.4021,11.949,1.066,266.9772,0.84,0.133,420.0,5625.0,0.96,0.96,-0.01,4.54
22,CoRoTID 223977153 b,6.71837,0.071,6.389,0.57,47.6745,0.15,0.1927222222222222,938.0,5970.0,0.79,1.08,0.0,4.67
23,EPIC 211945201 b,19.49213,0.148,6.12,0.546,27.0,0.08495,0.0,886.0,6025.0,1.38,1.18,0.1,4.25
24,EPIC 246851721 b,6.180235,0.07229,11.781,1.051,953.49,3.0,0.05022222222222222,1401.0,6202.0,1.59,1.32,0.141,4.16
25,EPIC 248847494 b,3650.0,4.5,12.442,1.11,4131.79,13.0,0.0,183.0,4898.0,2.7,0.9,-0.23,3.52
