,pl_name,disposition,sy_pnum,pl_orbper,pl_rade,pl_eqt,pl_orbincl,pl_imppar,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,st_teff,st_rad,st_mass,st_met,st_logg,dec,sy_kepmag
10,EPIC 201427007 b,1,1.0,0.72091,1.5,1305.9684210526316,88.5,0.7502631578947367,37353.52842105264,4.948958210526316,3.1,0.0142,5633.0,0.94,1.0586631578947365,-0.053,4.4,-0.5512886,14.219
12,EPIC 201595106 b,1,1.0,0.87703,1.2,1874.0,85.03567368421052,0.41,0.025,1.0008,5.4,0.0114,5711.17,0.99,1.02,0.018,4.45,1.9681688,11.678
13,EPIC 202059377.01,0,0.0,1.57753,26.0,1017.3368421052631,82.01115789473684,0.5506684210526316,20774.62210526316,0.0,58.87119712631579,0.13,7747.0,1.93,0.9730315789473685,-0.08368421052631579,4.08,21.651567,8.7
22,EPIC 202071645.01,0,0.0,23.7782,98.0,1220.2947368421053,82.36936842105263,0.6865842105263159,17539.287368421054,5.0712,34.23210438947368,0.44,7498.0,2.09,0.9478842105263157,-0.08273684210526316,4.03,17.7011893,10.4
45,EPIC 202126849.01,0,1.0,3.7999139,10.8,851.7052631578947,85.24494736842107,0.72,2.4,1.76,124.13366178947366,0.1567,4171.0,0.64,0.9464526315789472,-0.07957894736842103,4.37538947368421,25.4824005,13.6
48,EPIC 202126887.01,0,0.0,12.866539,22.3,1287.0736842105264,80.95536842105264,0.85,3.01,3.02,51.103041589473676,0.1905,6066.0,1.18,0.9501473684210526,-0.12526315789473685,4.358010526315789,26.7864507,13.0
49,EPIC 202126888.01,0,0.0,1.84617,2.14,884.421052631579,85.98063157894737,0.8494400000000003,26315.357894736848,3.0,20.610415684210526,0.0947,3252.0,0.21,0.9501473684210526,-0.10842105263157896,5.08,27.2197459,13.5
52,EPIC 212297394 b,1,2.0,2.289363,1.48,1149.0,81.18842105263157,0.41,222674.91578947369,1.88,8.53,0.0169,5171.0,0.8,0.83,-0.03,4.55,-17.6098985,14.138
53,EPIC 212737443 b,1,2.0,13.603,2.586,536.0,89.071,0.479,0.11,2.976,31.994,0.0352,4684.0,0.67,0.69,-0.137,4.62,-7.3180577,14.461
54,EPIC 212737443 c,1,2.0,65.55,2.69,316.0,89.63,0.567,0.11,4.608,91.172,0.0366,4684.0,0.67,0.69,-0.137,4.62,-7.3180577,14.461
55,EPIC 220674823 b,1,2.0,0.571292,1.52,2333.0,86.4,0.18,219727.32210526319,1.532,2.892,0.01601,5470.0,0.87,0.94,-0.025,4.53,10.7947051,11.958
59,EPIC 228729473.01,0,0.0,16.77217,19.29,1173.0,85.15577894736843,0.63,0.199,12.4008,6.8,0.0448,4898.0,3.88,1.142557894736842,-0.02913684210526317,4.09821052631579,-9.8902432,11.524
68,EPIC 228836835 b,1,1.0,0.728113,1.1,764.4736842105264,89.7,0.5632452631578948,2774.2452631578944,4.487879789473684,6.4,0.0299,3782.0,0.32,0.6946315789473683,-0.18,5.0,-5.2446247,14.925
79,EPIC 246851721 b,1,1.0,6.180235,11.781,1401.0,86.21,0.647,0.464,4.10808,9.8,0.0681,6202.0,1.59,1.32,0.141,4.16,16.2786991,11.257
80,EPIC 248847494 b,1,1.0,3650.0,12.442,183.0,89.87,0.79,0.18,53.6,14.287147136842108,0.042,4898.0,2.7,0.9,-0.23,3.52,11.8427484,12.171
81,EPIC 249893012 b,1,3.0,3.5951,1.95,1616.0,86.14,0.42,237870.74105263155,4.33,5.93,0.0104,5430.0,1.71,1.05,0.2,3.99,-16.7246474,11.364
82,EPIC 249893012 c,1,3.0,15.624,3.67,990.0,87.94,0.6,237870.74105263155,6.37,15.79,0.0197,5430.0,1.71,1.05,0.2,3.99,-16.7246474,11.364
