,pl_name,disposition,sy_pnum,pl_orbper,pl_rade,pl_eqt,pl_orbincl,pl_imppar,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,st_teff,st_rad,st_mass,st_met,st_logg,dec,sy_kepmag,lc_amplitude,lc_mean,lc_median,lc_q3,lc_q31,lc_resBFR,lc_skew,lc_kurtosis,lc_std
10,EPIC 201427007 b,1,1.0,0.72091,1.5,1305.9684210526316,88.5,0.7502631578947367,37353.52842105264,4.948958210526316,3.1,0.0142,5633.0,0.94,1.0586631578947365,-0.053,4.4,-0.5512886,14.219,322.466796875,30969.26171875,30967.7265625,30977.787109375,19.28369140625,1.187459599224305,11.341068326771783,83865128.0,24.820358276367188
12,EPIC 201595106 b,1,1.0,0.87703,1.2,1874.0,85.03567368421052,0.41,0.025,1.0008,5.4,0.0114,5711.17,0.99,1.02,0.018,4.45,1.9681688,11.678,1119.8125,288391.53125,288383.359375,288438.609375,91.7734375,1.2719946272666218,-0.7159003497789325,3462402816.0,112.66999816894531
13,EPIC 202059377.01,0,0.0,1.57753,26.0,1017.3368421052631,82.01115789473684,0.5506684210526316,20774.62210526316,0.0,58.87119712631579,0.13,7747.0,1.93,0.9730315789473685,-0.08368421052631579,4.08,21.651567,8.7,2172162.75,2052274.75,0.0,4338304.5,4338304.5,1.1107986501687288,0.10525849097484181,2.2114351094717586e+25,2162104.0
22,EPIC 202071645.01,0,0.0,23.7782,98.0,1220.2947368421053,82.36936842105263,0.6865842105263159,17539.287368421054,5.0712,34.23210438947368,0.44,7498.0,2.09,0.9478842105263157,-0.08273684210526316,4.03,17.7011893,10.4,444833.75,415089.84375,0.0,876035.0625,876035.0625,1.1107986501687288,0.10517990606734537,3.700207894163426e+22,437298.21875
45,EPIC 202126849.01,0,1.0,3.7999139,10.8,851.7052631578947,85.24494736842107,0.72,2.4,1.76,124.13366178947366,0.1567,4171.0,0.64,0.9464526315789472,-0.07957894736842103,4.37538947368421,25.4824005,13.6,43688.83203125,40789.09375,0.0,86030.9921875,86030.9921875,1.1107986501687288,0.10526255865363143,3.450724609920336e+18,42972.0859375
48,EPIC 202126887.01,0,0.0,12.866539,22.3,1287.0736842105264,80.95536842105264,0.85,3.01,3.02,51.103041589473676,0.1905,6066.0,1.18,0.9501473684210526,-0.12526315789473685,4.358010526315789,26.7864507,13.0,38780.83984375,36173.578125,0.0,76345.7734375,76345.7734375,1.1107986501687288,0.10518686804200043,2.134171585844609e+18,38109.0234375
49,EPIC 202126888.01,0,0.0,1.84617,2.14,884.421052631579,85.98063157894737,0.8494400000000003,26315.357894736848,3.0,20.610415684210526,0.0947,3252.0,0.21,0.9501473684210526,-0.10842105263157896,5.08,27.2197459,13.5,34687.05078125,28174.044921875,0.0,59383.5078125,59383.5078125,1.1107986501687288,0.10591678761891048,7.866399590952468e+17,29685.02734375
52,EPIC 212297394 b,1,2.0,2.289363,1.48,1149.0,81.18842105263157,0.41,222674.91578947369,1.88,8.53,0.0169,5171.0,0.8,0.83,-0.03,4.55,-17.6098985,14.138,483.451171875,25885.107421875,156213.144140625,157196.8593595806,2274.1921823601974,1.068559185859668,-4.457775473754989,6.502868542500577e+19,23.222652435302734
53,EPIC 212737443 b,1,2.0,13.603,2.586,536.0,89.071,0.479,0.11,2.976,31.994,0.0352,4684.0,0.67,0.69,-0.137,4.62,-7.3180577,14.461,769.8173828125,21171.6875,252918.2642989309,253994.84948601972,2568.670677425987,0.9465725806451613,-4.256708283173153,4.3235861226205826e+20,29.313430786132812
54,EPIC 212737443 c,1,2.0,65.55,2.69,316.0,89.63,0.567,0.11,4.608,91.172,0.0366,4684.0,0.67,0.69,-0.137,4.62,-7.3180577,14.461,769.8173828125,21171.6875,556782.1956722862,560594.0424547697,6600.3998817845395,0.9465725806451613,-4.193253791969525,4.658940065703271e+20,29.313430786132812
