,Unnamed: 0,pl_name,hd_name,hip_name,tic_id,disposition,sy_snum,sy_pnum,rv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_massj,pl_msinie,pl_msinij,pl_cmasse,pl_cmassj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_tranmid,ttv_flag,pl_imppar,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,pl_orbtper,pl_orblper,pl_rvamp,pl_projobliq,pl_trueobliq,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv,dec,glat,glon,elat,elon,sy_pm,sy_pmra,sy_pmdec,sy_dist,sy_plx,sy_bmag,sy_vmag,sy_umag,sy_gmag,sy_rmag,sy_imag,sy_zmag,sy_w1mag,sy_w3mag,sy_w4mag,sy_icmag,sy_kepmag,k2_campaigns,lc_amplitude,lc_mean,lc_median,lc_q3,lc_q31,lc_resBFR,lc_skew,lc_kurtosis,lc_std
0,0,BD+20 594 b,,,TIC 26123781,1,1.0,1.0,1.0,41.6855,,2.578,22.2481,0.07,,,,,22.2481,0.07,Mass,,0.0,,,89.55,,0.0,,0.049,,55.8,,,,3.1,,,,5766.0,1.08,1.67,-0.15,[Fe/H],,4.5,,1.89,,,,20.5990205,-28.05348,166.7966,1.31208,56.29259,63.0539428,36.5714,-51.3647,179.461,5.54366,11.765,10.849,,,,,,9.31,9.332,8.976,,11.04,4.0,630.59375,599867.25,,,,1.0227537922987164,,,98.26539611816406
13,13,EPIC 201170410.02,,,TIC 38116202,1,1.0,1.0,0.0,6.7987,0.0349,1.047,,,,,,,,,,,0.0,,,89.002,2456813.1485,0.0,0.46,,,,0.034,,,,,,,3648.0,0.28,0.29,-0.048,[Fe/H],,5.0,,,,,,-4.8070039,51.24569,264.99528,-8.32309,172.84681,21.8630759,8.57776,-20.1101,,,19.456,17.6984,,,,,,12.45,11.803,8.892,,15.673,1.0,1088.94091796875,3903.893310546875,,,,0.9883189436262062,,,45.9156379699707
21,21,EPIC 201238110 b,,,TIC 35019000,1,1.0,1.0,0.0,28.1696,,2.2,,,,,,,,,,,,,,,2456824.4836,0.0,,0.316,3.36,61.5,0.054,,,,,,,,0.37,,,,,,,,,,,-3.3894613,56.94662,278.31843,-3.22646,181.07984,28.0214205,-25.1078,-12.4418,159.259,6.25088,17.881,16.014,19.7224,17.0037,15.5521,14.5637,14.0482,11.8,11.961,8.891,,14.904,1.0,287.94970703125,9583.5380859375,,,,0.9964303926568078,,,45.460235595703125
31,31,EPIC 201257461.01,,,TIC 446672940,0,1.0,0.0,0.0,50.285869,,3.47,,,,,,,,,,,,,,,2456828.355,0.0,0.95,0.184,12.62,,0.05345,,,,,,,4859.0,0.74,,,,,,,,,,,-3.0949095,56.6147,275.51697,-3.57072,179.54522,8.1450771,-7.91616,-1.91747,829.248,1.1772,12.883,11.668,15.4938,12.4747,14.1617,13.1828,11.4917,9.284,9.284,8.319,,11.511,1.0,3636.640625,324765.90625,,,,1.4316770186335404,,,560.5809936523438
44,44,EPIC 201324549.01,,,TIC 38161230,0,1.0,0.0,0.0,2.51881781,,,,,,,,,,,,,,,,,2456820.075966,0.0,,0.215,1.58,,,,,,,,,6380.0,1.76,,-0.67,[M/H],,,,,,,,-2.0851597,54.1171,264.00756,-5.39088,172.774,7.6157731,7.0,3.0,476.884,,12.624,12.293,14.8406,14.9666,12.2253,12.0929,13.1522,10.88,11.015,9.024,,12.146,1.0,594.6328125,195738.03125,,,,1.1219512195121952,,,177.4826202392578
56,56,EPIC 201427007 b,,,TIC 66664249,1,1.0,1.0,0.0,0.72091,,1.5,,,,,,,,,,,,,,88.5,2457625.7943,0.0,,,,3.1,0.0142,,,,,,,5633.0,0.94,,-0.053,[Fe/H],,4.4,,,,,,-0.5512886,61.20318,285.58634,1.3229,184.44256,17.7833657,-17.3534,3.88685,706.391,1.38704,15.081,14.321,16.4425,14.6644,14.0904,13.9361,13.8685,12.534,11.181,8.468,,14.219,10.0,322.466796875,30969.26171875,30967.7265625,30977.787109375,19.28369140625,1.187459599224305,11.341068326771783,83865128.0,24.820358276367188
63,63,EPIC 201497682 b,,,TIC 301610040,1,1.0,1.0,0.0,2.13174,,0.692,,,,,,,,,,,,,,,2456850.0263,0.0,0.21,,,,0.0115,,,,,,,,,0.78,,,,,,,,,,0.4880606,54.82399,258.19387,-3.92857,169.63818,16.4083645,11.1495,-12.0384,253.026,3.92339,15.148,13.948,17.4868,15.5898,13.759,13.467,14.0043,11.376,11.354,8.878,,13.74,1.0,528.12890625,42619.9375,,,,1.012853470437018,,,39.043495178222656
83,83,EPIC 201555883.01,,,TIC 397013318,0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4419.0,0.52,,-0.98,[Fe/H],,,,,,,,1.3759629,59.63019,268.11343,-0.29696,175.85257,16.4654506,-16.3181,-2.19788,527.641,1.86696,16.84,15.484,,,,,,12.348,11.964,8.922,,15.06,1.0,293.0068359375,14126.666015625,,,,0.6271820448877805,,,132.0635528564453
91,91,EPIC 201569483.01,,,TIC 301558541,0,1.0,0.0,0.0,5.7968861,,24.2,,,,,,,,,,,,,,,2456813.313,0.0,0.73,9.43,2.57,,0.3232,,,,,,,4721.0,0.72,,,,,,,,,,,1.5774487,54.51576,254.64637,-3.61384,167.58348,18.8394872,-16.4155,-9.24433,233.55,4.25315,12.604,12.329,14.7825,12.5978,13.8056,13.1748,12.5807,9.841,9.781,8.956,,11.771,1.0,16298.2578125,263963.25,,,,0.9653614457831325,,,2858.794677734375
98,98,EPIC 201595106 b,,,TIC 397052808,1,1.0,1.0,0.0,0.87703,,1.2,,,,,,,,,,,,,1874.0,,2457583.0513,0.0,0.41,0.025,1.0008,5.4,0.0114,,,,,,,5711.17,0.99,1.02,0.018,[M/H],-0.026,4.45,,1.4754,,,,1.9681688,63.35883,282.19917,3.28517,182.63147,25.0015387,6.09669,-24.2468,232.1,4.28034,12.481,11.746,14.6843,12.2644,14.176,11.579,13.7205,10.158,10.086,8.424,,11.678,10.0,1119.8125,288391.53125,288383.359375,288438.609375,91.7734375,1.2719946272666218,-0.7159003497789325,3462402816.0,112.66999816894531
106,106,EPIC 201615463 c,,,TIC 377171980,1,1.0,2.0,0.0,3.80464,,1.22,,,,,,,,,,,,,,,2457621.2227,0.0,0.61,,,,0.0093,,,,,,,,,1.07,,,,,,,,,,2.2823788,64.0901,285.15815,4.15639,183.85511,49.6479619,-47.365,-14.8821,476.882,2.06877,12.64,12.081,14.8068,14.4276,14.6152,13.7582,13.1044,10.615,10.647,8.375,,11.964,10.0,691.3203125,213568.28125,213570.2421875,213591.1171875,46.52734375,0.9129451667608819,-2.6285735124151843,505556896.0,54.50736999511719
120,120,EPIC 201649426.01,,,TIC 325315305,0,1.0,0.0,0.0,27.77045,,32.79,,,,,,,,,,,,,441.0,,2456821.3482,0.0,,,,59.26,,,,,,,,5086.0,8.15,,-0.17,[Fe/H],,,,,,,,2.8075643,61.45048,268.67562,1.47668,176.34661,29.9935979,27.2596,-12.5112,252.383,3.93349,14.575,13.595,16.2572,15.1388,13.3525,14.3765,13.3624,10.879,10.855,8.928001,,13.223,1.0,4410.66015625,74001.9296875,,,,0.8519394512771996,,,299.39068603515625
