,pl_name,tid,disposition,ra,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad
0,1000.01,50365310.0,0.0,112.357708,-12.69596,-5.964,-0.076,2459229.630046,2.1713484,2.0172196,656.8860989,5.8181633,22601.9485814,3127.2040524,9.604,485.735,10249.0,4.19,2.16986
2,1002.01,124709665.0,0.0,104.726966,-10.580455,-1.462,-2.249,2459202.27787,1.8675878,2.2118642,1657.1471093,36.4328722,20641.4457009,3057.0657359,9.299501,943.109,8924.0,4.280836891891892,5.73255
3,1003.01,106997505.0,0.0,110.559945,-25.207017,-0.939,1.64,2458493.3957,2.74323,3.167,383.41,9.938092741891893,1177.36,1631.0,9.3003,7728.17,5388.5,4.15,1.3065279986486487
4,1004.01,238597883.0,0.0,122.178195,-48.802811,-4.496,9.347,2459229.549032,3.5775748,2.9347085,501.6028767,5.050111,8092.9691359,2419.0604472,9.1355,356.437,9219.0,4.14,2.1504
5,1005.01,169904935.0,0.0,120.704811,-11.101521,-26.932,-2.901,2458492.5552,4.55072,2.599,3620.0,6.54449,254.05,1112.0,9.1309,100.711,5613.0,4.317130000000001,1.09
6,1006.01,156115721.0,0.0,124.359239,-27.273521,-29.1,-6.8,2459229.984579,2.5047918,4.3797563,2270.5402194,8.6950898,1750.932635,1649.8220699,9.2386,435.93592702702705,6616.0,4.300829054054055,1.53429
8,1008.01,440801822.0,0.0,109.382839,13.395219,-17.9,1.3,2458492.52135,2.04936,2.234,249.5,1.71607,2107.05,1887.0,8.9362,144.297,6858.5,4.2,0.99
10,101.01,231663901.0,1.0,318.737012,-55.871863,12.641,-16.011,2459036.904104,1.4303691,1.6438728,19151.2162143,13.2504933,1281.241792,1525.9050967,12.4069,375.31,5600.0,4.48851,0.890774
11,1010.01,139853601.0,0.0,112.293981,-21.832912,-5.746,4.502,2459228.878101,0.6808702,2.4634563,1507.8006889,5.9115908,87140.6995884,4382.0266062,8.45086,485.122,9438.0,4.261024324324325,1.0
14,1013.01,97700520.0,0.0,107.286063,-31.933523,-3.973,7.061,2459232.248322,5.4255548,3.9637474,14939.6342222,11.672458498648648,273.5880696,1037.2753045,7.6095,510.295,8868.7,4.2615029729729725,1.461746312162162
17,1016.01,175310067.0,0.0,116.110771,-36.098285,-9.231,11.614,2459238.831138,12.6889415,7.9201001,3232.8527885,14.0608342,425.1594177,1158.1310368,10.6257,368.646,7601.0,4.31,1.53641
18,1017.01,182943944.0,0.0,124.726411,-37.78325,-11.278,9.593,2458518.96536,1.10422,2.37,14177.7,21.0448,39459.3,3926.0,10.6019,406.997,6995.2,4.07,1.61
19,1018.01,291555748.0,0.0,111.716019,-50.266567,-8.018,11.56,2458492.78078,4.95912,2.509,7440.0,22.9123,673.55,1419.0,10.6254,360.541,5889.0,3.86,2.0
21,102.01,149603524.0,1.0,87.139821,-63.988329,-15.641,26.046,2459384.943122,4.4119288,3.894,14790.0,15.2023,999.833,1566.0,9.7109,175.631,6280.0,4.32092,1.21
22,1020.01,140706664.0,0.0,128.381976,-43.828421,-5.814,4.328,2458521.29108,3.28892,3.793,10518.9,9.040947174324325,29832.6,3661.0,10.7173,906.827,8734.2,4.1,1.4792228243243242
23,1021.01,143994283.0,0.0,119.30075,-42.999149,-3.211,-15.082,2458492.90429,1.90879,1.909,618.482,3.34688,985.807,1561.0,10.5551,235.974,6022.6,4.52,1.22
25,1023.01,238374636.0,0.0,120.837688,-51.345626,-23.366,22.652,2459303.303969,1.3214483,3.435,2180.0,21.8839,35623.2,3827.0,9.697,316.398,5050.8,3.56,2.99
26,1024.01,141482386.0,0.0,86.820714,-72.422611,1.128,11.563,2458339.72276,18.0157,2.524,610.0,21.644,7.64364,463.0,10.0814,692.266,4709.0,4.294037837837838,7.61
28,1026.01,388624270.0,0.0,125.434634,-51.759442,47.228,-6.325,2459237.459734,14.2694372,6.9350494,1246.3921871,3.7255381,51.2588496,682.4360542,9.9138,105.677,5690.0,4.58,0.853898
31,1028.01,447283466.0,0.0,157.098337,-51.705409,30.65,-33.906,2458544.48066,1.01606,2.843,240.0,1.20704,2784.04,2023.0,7.9059,23.7748,4634.0,4.64,0.68
32,103.01,336732616.0,1.0,312.457488,-24.428694,10.426,15.62,2458327.25256,3.547854,3.494333,10424.3718,14.581841,1212.004376,1504.858953,11.5232,411.211,6351.0,4.22896,1.4
33,1030.01,464296022.0,0.0,155.831478,-57.590248,-26.184,22.489,2458551.32747,12.12369,4.849,6142.77,9.25664,223.195,1076.0,9.5706,78.41273,4807.6,4.17,1.07
34,1031.01,304021498.0,0.0,140.88389,-67.026006,-23.901,3.03,2459282.239861,5.6496834,2.5612882,1194.3338558,6.7892616,1226.2203257,1509.2524073,9.7318,270.771,6415.4,3.98,1.9220001
36,1033.01,149601557.0,0.0,87.282586,-60.498444,8.9,20.7,2459179.54455,29.0162503,6.507,1440.0,9.84223,159.189,1117.6650316945947,10.0163,219.94,6113.1,4.332780675675676,2.01
37,1034.01,400595342.0,0.0,134.441752,-49.000578,-4.837,4.109,2459283.337537,3.6344692,2.5339234,628.699015,4.2048368,5420.178349,2188.3820499,9.8174,363.44,9810.0,4.43,1.60776
40,1037.01,363260203.0,0.0,147.385172,-63.306478,-19.687,10.953,2459308.305635,1.2013272,3.4475374,427.3925883,3.7397226,22275.435005,3115.8482486,9.0211,279.698,9158.0,4.32,1.7416101
41,1038.01,90544017.0,0.0,128.454638,-49.940347,-15.5,7.0,2459273.371643,3.2235985,2.159,680.0,5.51341,2064.8,1359.7283705472971,8.7157,280.765,8904.0,4.09,2.17
43,104.01,231670397.0,1.0,319.949697,-58.148933,10.552,-10.658,2459038.863566,4.0872994,5.586113,3572.1712499,13.6237732,2242.3605401,1755.0767383,9.8638,316.678,6036.0,3.93359,2.2186699
44,1040.01,310483807.0,0.0,128.61421,-61.488262,-11.78,6.725,2458520.65674,2.55555,1.566,340.0,11.5901,3520.68,2145.0,8.3854,732.432,10037.0,4.274240945945946,6.04
45,1041.01,385624852.0,0.0,138.402252,-55.19791,-14.189,14.261,2459261.801216,8.30792,3.228,8350.0,43.1068,2276.25,1924.0,8.0981,305.034,9081.0,3.83,3.05
47,1043.01,90448944.0,0.0,128.302319,-52.714202,-9.496,14.659,2459305.355863,1.4415711,2.382,440.0,3.06814,4670.42,2303.0,9.5719,208.055,6902.0,4.25,1.52
