,pl_name,disposition,sy_pnum,pl_orbper,pl_rade,pl_eqt,pl_orbincl,pl_imppar,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,st_teff,st_rad,st_mass,st_met,st_logg,dec,sy_kepmag,lc_amplitude,lc_mean,lc_median,lc_q3,lc_q31,lc_resBFR,lc_skew,lc_kurtosis,lc_std
0,EPIC 201111557.01,2,0.0,2.302368,1.313,952.9473684210526,87.444,1.2175747368421055,17630.590526315795,4.2964589473684205,12.619867,0.01692,4720.0,0.71,0.9420842105263159,-0.06,4.5,-6.2683289,11.363,8487.359375,386818.5,386626.9375,388971.1640625,4196.140625,1.144486692015209,0.026095575081253236,360256991395840.0,3372.35205078125
1,EPIC 201127519.01,2,0.0,6.178369,9.913,1296.1052631578948,88.797,0.5457168421052631,20323.15548421053,5.239416,17.277258,0.11511,5015.0,0.79,1.1342631578947369,0.24,4.67,-5.8482738,11.558,3274.578125,348051.90625,348099.46875,348285.5078125,327.609375,0.726530612244898,-6.629070186020286,6588445753344.0,587.49853515625
2,EPIC 201164625.01,2,0.0,2.71189,4.34,2336.0,85.02156842105262,0.43,0.02,3.1008,5.5,0.0121,6402.0,3.17,1.28,-0.024610526315789468,3.54,-4.9467043,11.919,1890.984375,234289.171875,234296.5625,234343.5703125,103.0,0.850191361399672,3.7815490060845414,32536137728.0,145.1329803466797
3,EPIC 201166680.01,2,2.0,18.10549,2.1,1184.0736842105264,88.945,0.5662347368421052,18384.21986736842,5.911572421052632,26.263676,0.01572,6213.0,1.22,1.1934421052631579,0.14,4.32,-4.8991358,10.897,4010.8125,637776.8125,637770.75,637877.90625,180.5625,1.101863354037267,-4.89703774656152,714085040128.0,309.2320251464844
4,EPIC 201180665.01,2,0.0,17.77297,26.44,830.0,84.12315789473683,0.68,3.662,2.8992,33.3,0.1892,5847.0,1.25,1.06,-0.00470526315789474,4.27,-4.5603949,13.08,1742.6484375,78957.078125,79007.640625,79050.328125,147.86328125,0.598488427019367,-7.75455672445346,360797929472.0,256.4866638183594
5,EPIC 201274010.01,2,0.0,13.0113,2.43,713.0,80.81610526315791,0.42,0.065,2.2008,26.7,0.0255,5347.0,0.88,0.92,-0.09334736842105264,4.51,-2.844186,13.902,256.23046875,38765.171875,38765.37109375,38771.5,13.68359375,0.9515570934256056,0.5033642660303914,6134927.5,17.874967575073242
6,EPIC 201299088.01,2,0.0,21.204739,9.11,1338.9684210526316,83.49,0.5365273684210526,14449.174736842104,5.02395147368421,7.257597,0.04741,5154.0,1.76,1.0881578947368422,-0.26,3.91,-2.4646145,11.751,1102.078125,251764.421875,251755.8359375,251818.1015625,87.98828125,1.1692307692307693,-2.323727747075642,5499100672.0,122.33651733398438
7,EPIC 201352100.01,2,0.0,13.383629,2.873,1256.5684210526315,89.247,0.5700031578947368,7477.49607368421,4.750386,34.93315,0.03231,5216.0,0.82,1.1435473684210524,0.16,4.7,-1.6737612,12.798,499.33984375,115244.2578125,115273.11328125,115344.263671875,160.03515625,0.7090909090909091,-0.8274608098503571,2186384384.0,154.74554443359375
8,EPIC 201390927.01,2,0.0,2.638,2.91,1313.0,78.88999999999999,0.42,0.11,1.6992,10.9,0.0265,4264.47,1.392726315789474,1.015136842105263,0.078,4.266242105263158,-1.0989451,14.21,623.2421875,32441.833984375,32443.5537109375,32464.15966796875,53.29736328125,0.9526832083092902,2.1696891165830787,602451712.0,66.68905639648438
9,EPIC 201392505.01,2,0.0,27.47083,3.36,480.0,84.37473684210526,0.4,0.15,5.5008,30.9,0.0412,4947.03,0.75,0.81,-0.202,4.6,-1.0748315,13.384,2147.240234375,62561.8515625,62541.267578125,62627.4462890625,176.8076171875,1.280323450134771,5.226095023497788,172082298880.0,233.25010681152344
11,EPIC 201456770.01,2,0.0,8.006875,2.384,1193.8631578947368,82.59042105263158,0.609,44486.646315789476,2.5,20.19,0.0258,5403.0,0.85,0.9,-0.047,4.54,-0.1218824,13.973,2171.4462890625,34982.6484375,35159.77734375,35341.611328125,553.453125,0.515450067174205,-2.259284847320826,860503932928.0,550.1996459960938
14,EPIC 202060800.01,2,0.0,3.262038,107.76505263157893,1334.578947368421,83.79915789473685,0.6062673684210524,2.4289,2.2536,8.66,0.277,10318.0,5.27,0.9439473684210526,-0.07778947368421055,4.43662105263158,23.7941563,11.5,169987.875,157145.765625,0.0,331286.21875,331286.21875,1.1107986501687288,0.10541458245172153,7.604824774148977e+20,165560.359375
15,EPIC 202062450.01,2,0.0,4.4654,45.0,1023.9368421052632,80.91778947368421,0.8344389473684212,1.59,7.488,3.32,0.18,5634.263157894737,2.3,0.9425894736842106,-0.1249473684210526,4.430052631578946,14.5471107,10.8,776787.9375,702967.375,0.0,1516843.25,1516843.25,1.1107986501687288,0.12265648589401058,3.154175622670339e+23,742935.5625
16,EPIC 202064253.01,2,0.0,21.140574,31.5,1043.2421052631578,81.82989473684209,0.83,5.01,4.63,18.53789263157895,0.2499,6205.0,1.29,0.9507052631578946,-0.1344210526315789,4.4406,22.891765,12.3,185174.234375,171965.1875,0.0,362974.53125,362974.53125,1.1107986501687288,0.1052321261200197,1.0901029044669813e+21,181167.546875
17,EPIC 202066192.01,2,0.0,3.2923818,19.6,1009.7052631578947,82.45642105263157,0.9,0.924,1.76,48.21627874736843,0.1053,7824.0,1.87,1.0288,-0.15842105263157896,4.359515789473684,26.1253891,14.8,7364.853515625,6796.99658203125,0.0,14338.1552734375,14338.1552734375,1.1107986501687288,0.10547929610906277,2661983685967872.0,7161.04638671875
