,pl_name,disposition,sy_snum,sy_pnum,rv_flag,tran_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,ttv_flag,pl_trandur,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,st_teff,st_rad,st_raderr1,st_raderr2,ra,dec,glat,glon,elat,elon,sy_pm,sy_pmerr1,sy_pmerr2,sy_pmra,sy_pmraerr1,sy_pmraerr2,sy_pmdec,sy_pmdecerr1,sy_pmdecerr2,sy_dist,sy_disterr1,sy_disterr2,sy_plx,sy_plxerr1,sy_plxerr2,sy_bmag,sy_bmagerr1,sy_bmagerr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_jmag,sy_jmagerr1,sy_jmagerr2,sy_hmag,sy_hmagerr1,sy_hmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_w1mag,sy_w1magerr1,sy_w1magerr2,sy_w2mag,sy_w2magerr1,sy_w2magerr2,sy_w3mag,sy_w3magerr1,sy_w3magerr2,sy_w4mag,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,sy_tmag,sy_tmagerr1,sy_tmagerr2,sy_kepmag,k2_campaigns,pl_ntranspec;;;;
0,BD+20 594 b,CONFIRMED,1.0,1.0,1.0,1.0,41.6855,0.003,-0.003,0.0,2.578,0.112,-0.112,0.0,0.23,0.01,-0.01,0.0,,,,0.0,,,,,5766.0,1.08,0.06,-0.06,53.6511231,20.5990205,-28.05348,166.7966,1.31208,56.29259,63.0539428,0.0602311,-0.0602311,36.5714,0.0750147,-0.0750147,-51.3647,0.0511293,-0.0511293,179.461,1.257,-1.24,5.54366,0.0384779,-0.0384779,11.765,0.161,-0.161,10.849,0.012,-0.012,9.770001,0.022,-0.022,9.432,0.022,-0.022,9.368,0.018,-0.018,9.31,0.024,-0.024,9.344,0.02,-0.02,9.332,0.038,-0.038,8.976,10.8644,0.000249,-0.000249,10.4021,0.006,-0.006,11.04,4.0,0;;;;
3,EPIC 201111557.01,CANDIDATE,1.0,0.0,0.0,1.0,2.302368,0.000105,-0.000103,0.0,1.313,0.524,-0.121,0.0,0.12,0.05,-0.01,0.0,2457583.16206,0.002087,-0.002129,0.0,,0.01692,0.00674,-0.00148,4720.0,0.71,0.02,-0.02,183.8462454,-6.2683289,55.48289,286.98079,-4.22377,186.02096,73.41376,0.0959706,-0.0959706,-70.2608,0.0986645,-0.0986645,-21.2838,0.0591302,-0.0591302,97.1795,0.4642,-0.4598,10.2616,0.048551,-0.048551,12.737,0.028,-0.028,11.727,0.046,-0.046,9.873,0.023,-0.023,9.391,0.023,-0.023,9.22,0.019,-0.019,9.186,0.022,-0.022,9.243,0.019,-0.019,9.183,0.039,-0.039,8.2,11.3995,0.001307,-0.001307,10.7606,0.0061,-0.0061,11.363,10.0,0;;;;
5,EPIC 201126503.01,CANDIDATE,1.0,0.0,0.0,1.0,1.1947488,,,0.0,4.19,,,0.0,0.374,,,0.0,2456810.382,,,0.0,1.93,0.06005,,,3919.0,0.57,,,175.9385954,-5.8733592,53.16141,274.05758,-7.00239,178.61816,89.484127,0.2649546,-0.2649546,39.3529,0.459132,-0.459132,-80.3664,0.191019,-0.191019,290.062,18.356,-16.325,3.4345,0.200346,-0.200346,20.514,0.173,-0.173,19.21,0.2,-0.2,15.073,0.038,-0.038,14.42,0.055,-0.055,14.23,0.07,-0.07,14.117,0.028,-0.028,13.917,0.041,-0.041,12.433,,,8.74,17.8892,0.001662,-0.001662,16.6126,0.0108543,-0.0108543,17.275,1.0,0;;;;
6,EPIC 201127519.01,CANDIDATE,1.0,0.0,0.0,1.0,6.178369,0.000195,-0.000172,0.0,9.913,0.529,-0.362,0.0,0.88,0.05,-0.03,0.0,2457585.55131,0.001116,-0.001211,0.0,,0.11511,0.00492,-0.00336,5015.0,0.79,0.03,-0.02,181.3718091,-5.8482738,55.20086,282.61866,-4.81927,183.58924,74.1657367,0.138433,-0.138433,-59.6141,0.13957,-0.13957,-44.1216,0.136333,-0.136333,117.704,0.778,-0.767,8.46751,0.0553409,-0.0553409,12.787,0.024,-0.024,11.733,0.046,-0.046,10.014,0.023,-0.023,9.569,0.027,-0.027,9.43,0.021,-0.021,9.308,0.024,-0.024,9.416,0.02,-0.02,9.358,0.053,-0.053,8.18,11.4806,0.000478,-0.000478,10.8612,0.0061,-0.0061,11.558,10.0,0;;;;
8,EPIC 201147085.01,CANDIDATE,1.0,0.0,0.0,1.0,1.17589,0.0001,-0.0001,0.0,0.86,0.18,-0.26,0.0,0.077,0.016,-0.023,0.0,2456810.7406,0.0042,-0.004,0.0,1.248,0.0254,0.0025,-0.0052,,0.31,0.06,-0.07,173.902664,-5.364612,52.69306,270.68004,-7.34504,176.54115,86.0494399,2.0,-2.0,-80.31,2.0,-2.0,30.9,2.0,-2.0,166.5844,,,,,,18.15,0.162,-0.162,16.64,0.2,-0.2,12.258,0.024,-0.024,11.639,0.024,-0.024,11.397,0.023,-0.023,11.284,0.024,-0.024,11.141,0.022,-0.022,10.779,0.106,-0.106,8.412,,,,13.906,0.059,-0.059,14.519,1.0,0;;;;
9,EPIC 201152065.01,CANDIDATE,1.0,0.0,0.0,1.0,10.6966,0.002,-0.0021,0.0,1.45,0.18,-0.36,0.0,0.129,0.016,-0.032,0.0,2456817.3147,0.0072,-0.0069,0.0,3.24,0.0226,0.0022,-0.0055,,0.59,0.04,-0.01,173.0432884,-5.2471672,52.38012,269.3565,-7.57839,175.70245,114.5051284,0.0628718,-0.0628718,-114.148,0.0630069,-0.0630069,9.036511,0.0352167,-0.0352167,212.291,1.408,-1.39,4.68183,0.0308071,-0.0308071,15.578,0.008,-0.008,14.346,0.183,-0.183,12.192,0.024,-0.024,11.527,0.025,-0.025,11.43,0.023,-0.023,11.359,0.024,-0.024,11.386,0.022,-0.022,11.259,0.189,-0.189,8.931,13.9562,0.000535,-0.000535,13.2264,0.0062,-0.0062,13.951,1.0,0;;;;
10,EPIC 201160662.01,CANDIDATE,1.0,0.0,0.0,1.0,1.5374115,6.2e-06,-6.1e-06,0.0,45.0,12.0,-17.0,0.0,4.0,1.1,-1.5,0.0,2456810.49714,0.00019,-0.00019,0.0,2.3808,0.259,0.071,-0.099,,1.6,0.05,-0.04,174.9978388,-5.0404536,53.48995,272.0325,-6.61276,177.41851,50.3403886,0.0586333,-0.0586333,13.2274,0.109857,-0.109857,-48.5715,0.0528941,-0.0528941,666.23,22.917,-21.467,1.47286,0.0495985,-0.0495985,12.548,0.0,0.0,12.382,0.092,-0.092,11.163,0.026,-0.026,10.848,0.026,-0.026,10.797,0.024,-0.024,10.711,0.023,-0.023,10.688,0.02,-0.02,10.459,0.083,-0.083,8.865,12.0464,0.00129,-0.00129,11.7233,0.0071,-0.0071,12.122,1.0,0;;;;
11,EPIC 201164625.01,CANDIDATE,1.0,0.0,0.0,1.0,2.71189,0.00068,-0.00056,0.0,4.34,0.43,-0.35,0.0,0.387,0.038,-0.031,0.0,2457583.1362,0.0112,-0.0179,0.0,3.1008,0.0121,0.001,-0.0008,6402.0,3.17,0.17,-0.2,181.5936878,-4.9467043,56.1264,282.49332,-3.9044,183.4318,4.566737,0.0720635,-0.0720635,-3.6771,0.0797506,-0.0797506,2.70814,0.0551509,-0.0551509,1032.42,45.09,-41.543,0.939386,0.0403492,-0.0403492,12.013,0.229,-0.229,11.461,0.016,-0.016,11.002,0.024,-0.024,10.791,0.027,-0.027,10.777,0.023,-0.023,10.698,0.024,-0.024,10.719,0.021,-0.021,10.651,0.182,-0.182,8.032,11.8357,0.000338,-0.000338,11.4865,0.007,-0.007,11.919,10.0,0;;;;
12,EPIC 201166680.01,CANDIDATE,1.0,2.0,0.0,1.0,18.10549,0.010083,-0.012897,0.0,2.1,0.306,-0.201,0.0,0.19,0.03,-0.02,0.0,2457598.1933,0.020571,-0.015611,0.0,,0.01572,0.00173,-0.00119,6213.0,1.22,0.12,-0.07,181.1211419,-4.8991358,56.0218,281.66644,-4.04845,182.97997,64.4472506,0.1014242,-0.1014242,-61.8134,0.103981,-0.103981,18.236,0.0652128,-0.0652128,266.864,3.516,-3.428,3.71914,0.048381,-0.048381,11.508,0.178,-0.178,10.971,0.012,-0.012,9.852,0.022,-0.022,9.637,0.023,-0.023,9.591,0.021,-0.021,9.539,0.022,-0.022,9.597,0.02,-0.02,9.489,0.072,-0.072,8.16,10.7424,0.000405,-0.000405,10.3748,0.0073,-0.0073,10.897,10.0,0;;;;
13,EPIC 201170410.02,CONFIRMED,1.0,1.0,0.0,1.0,6.7987,0.0001,-0.0001,0.0,1.047,0.276,-0.257,0.0,0.093,0.025,-0.023,0.0,2456813.1485,0.0006,-0.0005,0.0,,0.034,0.0007,-0.0006,3648.0,0.28,0.07,-0.07,170.1408561,-4.8070039,51.24569,264.99528,-8.32309,172.84681,21.8630759,2.2138133,-2.2138133,8.57776,2.21762,-2.21762,-20.1101,2.21312,-2.21312,,,,,,,19.456,0.162,-0.162,17.6984,0.0471,-0.0471,13.464,0.026,-0.026,12.856,0.022,-0.022,12.619,0.027,-0.027,12.45,0.024,-0.024,12.291,0.025,-0.025,11.803,,,8.892,16.4386,0.007283,-0.007283,15.3176,0.0096,-0.0096,15.673,1.0,0
