,Unnamed: 0,pl_name,hd_name,hip_name,tic_id,disposition,sy_snum,sy_pnum,rv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_massj,pl_msinie,pl_msinij,pl_cmasse,pl_cmassj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_tranmid,ttv_flag,pl_imppar,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,pl_orbtper,pl_orblper,pl_rvamp,pl_projobliq,pl_trueobliq,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv,dec,glat,glon,elat,elon,sy_pm,sy_pmra,sy_pmdec,sy_dist,sy_plx,sy_bmag,sy_vmag,sy_umag,sy_gmag,sy_rmag,sy_imag,sy_zmag,sy_w1mag,sy_w3mag,sy_w4mag,sy_icmag,sy_kepmag,k2_campaigns,lc_amplitude,lc_mean,lc_median,lc_q3,lc_q31,lc_resBFR,lc_skew,lc_kurtosis,lc_std
0,0,BD+20 594 b,,,TIC 26123781,1,1.0,1.0,1.0,41.6855,,2.578,22.2481,0.07,,,,,22.2481,0.07,Mass,,0.0,,,89.55,,0.0,,0.049,,55.8,,,,3.1,,,,5766.0,1.08,1.67,-0.15,[Fe/H],,4.5,,1.89,,,,20.5990205,-28.05348,166.7966,1.31208,56.29259,63.0539428,36.5714,-51.3647,179.461,5.54366,11.765,10.849,,,,,,9.31,9.332,8.976,,11.04,4.0,630.59375,599867.25,,,,1.0227537922987164,,,98.26539611816406
3,3,EPIC 201111557.01,,,TIC 176942156,2,1.0,0.0,0.0,2.302368,,1.313,,,,,,,,,,,,,,87.444,2457583.16206,0.0,,,,12.619867,0.01692,,,,,,,4720.0,0.71,,-0.06,[Fe/H],,4.5,,,,,,-6.2683289,55.48289,286.98079,-4.22377,186.02096,73.41376,-70.2608,-21.2838,97.1795,10.2616,12.737,11.727,,,,,,9.186,9.183,8.2,,11.363,10.0,8487.359375,386818.5,386626.9375,388971.1640625,4196.140625,1.144486692015209,0.026095575081253236,360256991395840.0,3372.35205078125
5,5,EPIC 201126503.01,,,TIC 380166702,2,1.0,0.0,0.0,1.1947488,,4.19,,,,,,,,,,,,,,,2456810.382,0.0,0.0,0.448,1.93,,0.06005,,,,,,,3919.0,0.57,,,,,,,,,,,-5.8733592,53.16141,274.05758,-7.00239,178.61816,89.484127,39.3529,-80.3664,290.062,3.4345,20.514,19.21,,,,,,14.117,12.433,8.74,,17.275,1.0,331.3089599609375,683.159912109375,,,,1.0605263157894738,,,16.420591354370117
6,6,EPIC 201127519.01,,,TIC 96244568,2,1.0,0.0,0.0,6.178369,,9.913,,,,,,,,,,,,,,88.797,2457585.55131,0.0,,,,17.277258,0.11511,,,,,,,5015.0,0.79,,0.24,[Fe/H],,4.67,,,,,,-5.8482738,55.20086,282.61866,-4.81927,183.58924,74.1657367,-59.6141,-44.1216,117.704,8.46751,12.787,11.733,,,,,,9.308,9.358,8.18,,11.558,10.0,3274.578125,348051.90625,348099.46875,348285.5078125,327.609375,0.726530612244898,-6.629070186020286,6588445753344.0,587.49853515625
8,8,EPIC 201147085.01,,,TIC 49427200,2,1.0,0.0,0.0,1.17589,,0.86,,,,,,,,,,,,,,,2456810.7406,0.0,,0.0686,1.248,6.3,0.0254,,,,,,,,0.31,,,,,,,,,,,-5.364612,52.69306,270.68004,-7.34504,176.54115,86.0494399,-80.31,30.9,166.5844,,18.15,16.64,,,,,,11.284,10.779,8.412,,14.519,1.0,371.05615234375,11210.1845703125,,,,1.1173607355327204,,,35.61330032348633
9,9,EPIC 201152065.01,,,TIC 173145687,2,1.0,0.0,0.0,10.6966,,1.45,,,,,,,,,,,,,,,2456817.3147,0.0,,0.0557,3.24,21.9,0.0226,,,,,,,,0.59,,,,,,,,,,,-5.2471672,52.38012,269.3565,-7.57839,175.70245,114.5051284,-114.148,9.036511,212.291,4.68183,15.578,14.346,17.5486,15.439,14.0473,13.6339,13.5414,11.359,11.259,8.931,,13.951,1.0,734.25,31273.2890625,,,,0.8958837772397095,,,84.71604919433594
10,10,EPIC 201160662.01,,,TIC 49504409,2,1.0,0.0,0.0,1.5374115,,45.0,,,,,,,,,,,,,,,2456810.49714,0.0,,1.4564,2.3808,3.59,0.259,,,,,,,,1.6,,,,,,,,,,,-5.0404536,53.48995,272.0325,-6.61276,177.41851,50.3403886,13.2274,-48.5715,666.23,1.47286,12.548,12.382,14.7316,12.5269,12.195,12.1367,13.4362,10.711,10.459,8.865,,12.122,1.0,7158.4296875,178447.25,,,,1.3193127962085307,,,3420.529296875
11,11,EPIC 201164625.01,,,TIC 56754094,2,1.0,0.0,0.0,2.71189,,4.34,,,,,,,,,,,,,2336.0,,2457583.1362,0.0,0.43,0.02,3.1008,5.5,0.0121,,,,,,,6402.0,3.17,1.28,,,1.181,3.54,,0.0568,,,,-4.9467043,56.1264,282.49332,-3.9044,183.4318,4.566737,-3.6771,2.70814,1032.42,0.939386,12.013,11.461,,,,,,10.698,10.651,8.032,,11.919,10.0,1890.984375,234289.171875,234296.5625,234343.5703125,103.0,0.850191361399672,3.7815490060845414,32536137728.0,145.1329803466797
12,12,EPIC 201166680.01,,,TIC 96199085,2,1.0,2.0,0.0,18.10549,,2.1,,,,,,,,,,,,,,88.945,2457598.1933,0.0,,,,26.263676,0.01572,,,,,,,6213.0,1.22,,0.14,[Fe/H],,4.32,,,,,,-4.8991358,56.0218,281.66644,-4.04845,182.97997,64.4472506,-61.8134,18.236,266.864,3.71914,11.508,10.971,,,,,,9.539,9.489,8.16,,10.897,10.0,4010.8125,637776.8125,637770.75,637877.90625,180.5625,1.101863354037267,-4.89703774656152,714085040128.0,309.2320251464844
13,13,EPIC 201170410.02,,,TIC 38116202,1,1.0,1.0,0.0,6.7987,0.0349,1.047,,,,,,,,,,,0.0,,,89.002,2456813.1485,0.0,0.46,,,,0.034,,,,,,,3648.0,0.28,0.29,-0.048,[Fe/H],,5.0,,,,,,-4.8070039,51.24569,264.99528,-8.32309,172.84681,21.8630759,8.57776,-20.1101,,,19.456,17.6984,,,,,,12.45,11.803,8.892,,15.673,1.0,1088.94091796875,3903.893310546875,,,,0.9883189436262062,,,45.9156379699707
