,pl_name,tic_id,Unnamed: 0,disposition,sy_snum,sy_pnum,rv_flag,tran_flag,pl_orbper,pl_rade,pl_radj,pl_tranmid,ttv_flag,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,st_teff,st_rad,st_mass,st_logg,ra,dec,glat,glon,elat,elon,sy_pm,sy_pmra,sy_pmdec,sy_dist,sy_plx,sy_bmag,sy_vmag,sy_jmag,sy_hmag,sy_kmag,sy_w1mag,sy_w2mag,sy_w3mag,sy_w4mag,sy_gaiamag,sy_tmag,sy_kepmag,k2_campaigns,lc_amplitude,lc_slope,lc_max,lc_mean,lc_median,lc_meanAbsDev,lc_min,lc_q1,lc_q3,lc_q31,lc_resBFR,lc_skew,lc_kurtosis,lc_std
0,BD+20 594 b,TIC 26123781,0.0,1.0,1.0,1.0,1.0,1.0,41.6855,2.578,0.23,2456796.853648108,0.0,0.049,3.8328864864864856,55.8,0.17686135135135136,5766.0,1.08,1.67,4.5,53.6511231,20.5990205,-28.05348,166.7966,1.31208,56.29259,63.0539428,36.5714,-51.3647,179.461,5.54366,11.765,10.849,9.770001,9.432,9.368,9.31,9.344,9.332,8.976,10.8644,10.4021,11.04,4.0,630.59375,5439.294162502803,600613.0625,599867.25,105366.29508023648,131988.19163389463,599351.875,104864.28177787163,384893.8286792652,280029.54690139357,1.0227537922987164,-0.5271880905028618,4.865413831713135e+22,98.26539611816406
1,EPIC 201111557.01,TIC 176942156,3.0,2.0,1.0,0.0,0.0,1.0,2.302368,1.313,0.12,2457583.16206,0.0,0.6307772972972974,3.592237837837838,12.619867,0.01692,4720.0,0.71,0.7948648648648649,4.5,183.8462454,-6.2683289,55.48289,286.98079,-4.22377,186.02096,73.41376,-70.2608,-21.2838,97.1795,10.2616,12.737,11.727,9.873,9.391,9.22,9.186,9.243,9.183,8.2,11.3995,10.7606,11.363,10.0,8487.359375,87.11866706435791,395310.09375,386818.5,386626.9375,191.55992126464844,378335.375,384775.0234375,388971.1640625,4196.140625,1.144486692015209,0.026095575081253236,360256991395840.0,3372.35205078125
2,EPIC 201126503.01,TIC 380166702,5.0,2.0,1.0,0.0,0.0,1.0,1.1947488,4.19,0.374,2456810.382,0.0,0.448,1.93,12.07304491891892,0.06005,3919.0,0.57,1.0286486486486486,4.588108108108107,175.9385954,-5.8733592,53.16141,274.05758,-7.00239,178.61816,89.484127,39.3529,-80.3664,290.062,3.4345,20.514,19.21,15.073,14.42,14.23,14.117,13.917,12.433,8.74,17.8892,16.6126,17.275,1.0,331.3089599609375,5136.07851261189,1244.802001953125,683.159912109375,107861.35418866132,124611.80725530676,582.18408203125,107301.42838101773,371903.21401235217,264601.78563133447,1.0605263157894738,-0.5850955199682308,4.8604668105026515e+22,16.420591354370117
3,EPIC 201127519.01,TIC 96244568,6.0,2.0,1.0,0.0,0.0,1.0,6.178369,9.913,0.88,2457585.55131,0.0,0.6452227027027027,3.8362162162162163,17.277258,0.11511,5015.0,0.79,1.0348648648648648,4.67,181.3718091,-5.8482738,55.20086,282.61866,-4.81927,183.58924,74.1657367,-59.6141,-44.1216,117.704,8.46751,12.787,11.733,10.014,9.569,9.43,9.308,9.416,9.358,8.18,11.4806,10.8612,11.558,10.0,3274.578125,-4.0681703714831094,348831.21875,348051.90625,348099.46875,-47.5822639465332,342282.0625,347957.8984375,348285.5078125,327.609375,0.726530612244898,-6.629070186020286,6588445753344.0,587.49853515625
4,EPIC 201147085.01,TIC 49427200,8.0,2.0,1.0,0.0,0.0,1.0,1.17589,0.86,0.077,2456810.7406,0.0,0.0686,1.248,6.3,0.0254,5585.359729729729,0.31,0.7127027027027025,4.457027027027027,173.902664,-5.364612,52.69306,270.68004,-7.34504,176.54115,86.0494399,-80.31,30.9,166.5844,4.061115110810811,18.15,16.64,12.258,11.639,11.397,11.284,11.141,10.779,8.412,12.33649189189189,13.906,14.519,1.0,371.05615234375,5681.850251941928,11633.775390625,11210.1845703125,108489.18996779983,137640.54578482138,10891.6630859375,107917.01932010135,400946.97854201857,293029.9592219172,1.1173607355327204,-0.6493178015241541,5.710829962904264e+22,35.61330032348633
5,EPIC 201152065.01,TIC 173145687,9.0,2.0,1.0,0.0,0.0,1.0,10.6966,1.45,0.129,2456817.3147,0.0,0.0557,3.24,21.9,0.0226,5587.417027027027,0.59,0.7489189189189188,4.374594594594594,173.0432884,-5.2471672,52.38012,269.3565,-7.57839,175.70245,114.5051284,-114.148,9.036511,212.291,4.68183,15.578,14.346,12.192,11.527,11.43,11.359,11.386,11.259,8.931,13.9562,13.2264,13.951,1.0,734.25,4902.761768777496,32231.70703125,31273.2890625,109339.98264622044,118905.74299332903,30763.20703125,108750.48011243665,361177.47814611485,252426.99803367822,0.8958837772397095,-0.656290556996522,4.858742027731393e+22,84.71604919433594
6,EPIC 201160662.01,TIC 49504409,10.0,2.0,1.0,0.0,0.0,1.0,1.5374115,45.0,4.0,2456810.49714,0.0,1.4564,2.3808,3.59,0.259,5602.278648648648,1.6,0.8564864864864865,4.366486486486486,174.9978388,-5.0404536,53.48995,272.0325,-6.61276,177.41851,50.3403886,13.2274,-48.5715,666.23,1.47286,12.548,12.382,11.163,10.848,10.797,10.711,10.688,10.459,8.865,12.0464,11.7233,12.122,1.0,7158.4296875,5872.639850373554,186160.359375,178447.25,107861.35418866132,142292.65269449595,171843.5,107301.42838101773,410120.7963603252,302819.3679793074,1.3193127962085307,-0.5846199869497225,5.713776186964118e+22,3420.529296875
7,EPIC 201164625.01,TIC 56754094,11.0,2.0,1.0,0.0,0.0,1.0,2.71189,4.34,0.387,2457583.1362,0.0,0.02,3.1008,5.5,0.0121,6402.0,3.17,1.28,3.54,181.5936878,-4.9467043,56.1264,282.49332,-3.9044,183.4318,4.566737,-3.6771,2.70814,1032.42,0.939386,12.013,11.461,11.002,10.791,10.777,10.698,10.719,10.651,8.032,11.8357,11.4865,11.919,10.0,1890.984375,-1.1014390751981542,236758.390625,234289.171875,234296.5625,-7.385070323944092,232976.421875,234240.5703125,234343.5703125,103.0,0.850191361399672,3.7815490060845414,32536137728.0,145.1329803466797
8,EPIC 201166680.01,TIC 96199085,12.0,2.0,1.0,2.0,0.0,1.0,18.10549,2.1,0.19,2457598.1933,0.0,1.611756756756757,3.991981621621622,26.263676,0.01572,6213.0,1.22,1.014054054054054,4.32,181.1211419,-4.8991358,56.0218,281.66644,-4.04845,182.97997,64.4472506,-61.8134,18.236,266.864,3.71914,11.508,10.971,9.852,9.637,9.591,9.539,9.597,9.489,8.16,10.7424,10.3748,10.897,10.0,4010.8125,-2.39588726048515,640927.9375,637776.8125,637770.75,6.050827503204346,632906.3125,637697.34375,637877.90625,180.5625,1.101863354037267,-4.89703774656152,714085040128.0,309.2320251464844
9,EPIC 201170410.02,TIC 38116202,13.0,1.0,1.0,1.0,0.0,1.0,6.7987,1.047,0.093,2456813.1485,0.0,3.823654054054054,3.7500756756756757,14.819585459459459,0.034,3648.0,0.28,0.29,5.0,170.1408561,-4.8070039,51.24569,264.99528,-8.32309,172.84681,21.8630759,8.57776,-20.1101,865.1050945945947,4.224476786486487,19.456,17.6984,13.464,12.856,12.619,12.45,12.291,11.803,8.892,16.4386,15.3176,15.673,1.0,1088.94091796875,5136.07851261189,5851.44775390625,3903.893310546875,107861.35418866132,124611.80725530676,3673.56591796875,107301.42838101773,371903.21401235217,264601.78563133447,0.9883189436262062,-0.5850955199682308,4.8604668105026515e+22,45.9156379699707
