,toi,tfopwg_disp,ra,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad
0,1000.01,FALSE POSITIVE,112.357708,-12.69596,-5.964,-0.076,2459229.630046,2.1713484,2.0172196,656.8860989,5.8181633,22601.9485814,3127.2040524,9.604,485.735,10249.0,4.19,2.16986
1,1001.01,CANDIDATE,122.580465,-5.513852,-4.956,-15.555,2459250.064549,1.931671,3.18,1030.0,10.3168,42432.8,3998.0,9.42344,295.862,7070.0,4.03,2.01
2,1002.01,FALSE POSITIVE,104.726966,-10.580455,-1.462,-2.249,2459202.27787,1.8675878,2.2118642,1657.1471093,36.4328722,20641.4457009,3057.0657359,9.299501,943.109,8924.0,,5.73255
3,1003.01,FALSE POSITIVE,110.559945,-25.207017,-0.939,1.64,2458493.3957,2.74323,3.167,383.41,,1177.36,1631.0,9.3003,7728.17,5388.5,4.15,
4,1004.01,FALSE POSITIVE,122.178195,-48.802811,-4.496,9.347,2459229.549032,3.5775748,2.9347085,501.6028767,5.050111,8092.9691359,2419.0604472,9.1355,356.437,9219.0,4.14,2.1504
5,1005.01,FALSE POSITIVE,120.704811,-11.101521,-26.932,-2.901,2458492.5552,4.55072,2.599,3620.0,6.54449,254.05,1112.0,9.1309,100.711,5613.0,,1.09
6,1006.01,FALSE POSITIVE,124.359239,-27.273521,-29.1,-6.8,2459229.984579,2.5047918,4.3797563,2270.5402194,8.6950898,1750.932635,1649.8220699,9.2386,,6616.0,,1.53429
7,1007.01,CANDIDATE,112.752393,-4.463359,0.357,3.399,2459247.930695,6.9989206,3.953,2840.0,14.7752,448.744,1282.0,8.87759,283.291,6596.0,3.71,2.7
8,1008.01,FALSE POSITIVE,109.382839,13.395219,-17.9,1.3,2458492.52135,2.04936,2.234,249.5,1.71607,2107.05,1887.0,8.9362,144.297,6858.5,4.2,0.99
9,1009.01,CANDIDATE,111.667845,-24.462111,-3.297,4.849,2459252.751357,1.9600296,1.842,2100.0,,26538.5,3555.0,8.4331,866.147,8868.7,,
10,101.01,CONFIRMED,318.737012,-55.871863,12.641,-16.011,2459036.904104,1.4303691,1.6438728,19151.2162143,13.2504933,1281.241792,1525.9050967,12.4069,375.31,5600.0,4.48851,0.890774
11,1010.01,FALSE POSITIVE,112.293981,-21.832912,-5.746,4.502,2459228.878101,0.6808702,2.4634563,1507.8006889,5.9115908,87140.6995884,4382.0266062,8.45086,485.122,9438.0,,1.0
12,1011.01,CANDIDATE,113.984761,-32.841999,145.102,-134.901,2459231.130844,2.4696958,2.3244437,233.4371605,1.4549384,555.1966304,1238.0308162,8.2388,52.62,5413.7,4.46,0.941335
13,1012.01,CANDIDATE,117.095285,6.785064,-2.99,-0.029,2459252.509595,0.884182,1.621,1890.0,24.8132,112144.0,5098.0,8.12718,295.959,8928.0,3.92,2.72
14,1013.01,FALSE POSITIVE,107.286063,-31.933523,-3.973,7.061,2459232.248322,5.4255548,3.9637474,14939.6342222,,273.5880696,1037.2753045,7.6095,510.295,8868.7,,
15,1014.01,CANDIDATE,103.561602,-34.22282,-13.063,9.737,2459201.97301,1.4095043,1.3502669,3554.1212006,,1650.4441307,1625.6234538,7.678,224.672,9307.0,,
16,1015.01,CANDIDATE,122.895964,-27.971896,1.566,-17.974,2459229.035406,1.3734992,1.6528441,1062.6115541,21.9288943,3159.244222,1912.1217852,10.7069,906.496,4897.0,,6.79961
17,1016.01,FALSE POSITIVE,116.110771,-36.098285,-9.231,11.614,2459238.831138,12.6889415,7.9201001,3232.8527885,14.0608342,425.1594177,1158.1310368,10.6257,368.646,7601.0,4.31,1.53641
18,1017.01,FALSE POSITIVE,124.726411,-37.78325,-11.278,9.593,2458518.96536,1.10422,2.37,14177.7,21.0448,39459.3,3926.0,10.6019,406.997,6995.2,4.07,1.61
19,1018.01,FALSE POSITIVE,111.716019,-50.266567,-8.018,11.56,2458492.78078,4.95912,2.509,7440.0,22.9123,673.55,1419.0,10.6254,360.541,5889.0,3.86,2.0
20,1019.01,CANDIDATE,120.147994,-54.878552,-11.732,2.586,2459232.446777,5.2340964,3.6909047,20542.2936714,24.087882,1453.6680068,1574.8386241,10.6348,399.544,7645.0,4.3,1.56203
21,102.01,CONFIRMED,87.139821,-63.988329,-15.641,26.046,2459384.943122,4.4119288,3.894,14790.0,15.2023,999.833,1566.0,9.7109,175.631,6280.0,4.32092,1.21
22,1020.01,FALSE POSITIVE,128.381976,-43.828421,-5.814,4.328,2458521.29108,3.28892,3.793,10518.9,,29832.6,3661.0,10.7173,906.827,8734.2,4.1,
23,1021.01,FALSE POSITIVE,119.30075,-42.999149,-3.211,-15.082,2458492.90429,1.90879,1.909,618.482,3.34688,985.807,1561.0,10.5551,235.974,6022.6,4.52,1.22
